file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder,expected_name,expected_file_name,expected_stem,expected_date_token,expected_sector,expected_sector_candidates,expected_stem_candidates,date_warning,rename_status,expected_name_exists_in_mosaic,matched_mosaic_source_field,matched_mosaic_path,matched_mosaic_file_name,matched_mosaic_stem,load_status,date_exists_in_mosaic,same_date_mosaic_examples,triage_status
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,155.039,2026-06-11 10:38:02,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,96.611,2026-06-11 10:38:11,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,147.604,2026-06-11 10:38:18,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,GEOSP-TRN-002200_ORTOFOTO COMPLETA,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,29.916,2026-06-11 10:38:35,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-002300_ortofoto completa.tif,GEOSP-TRN-002300_ortofoto completa,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,50.335,2026-06-11 10:38:43,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,41.831,2026-06-11 10:38:54,20260206_Geosupport_primera entrega,True,,,,,,,,,descartar_posible_plano,False,,,,,descartar_posible_plano,False,,descartar_posible_plano
GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,128.886,2026-06-11 10:39:03,20260206_Geosupport_primera entrega,True,,,,,,,,,descartar_posible_plano,False,,,,,descartar_posible_plano,False,,descartar_posible_plano
GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,37.785,2026-06-11 10:39:07,20260206_Geosupport_primera entrega,True,,,,,,,,,descartar_posible_plano,False,,,,,descartar_posible_plano,False,,descartar_posible_plano
GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,47.647,2026-06-11 10:39:08,20260206_Geosupport_primera entrega,True,,,,,,,,,descartar_posible_plano,False,,,,,descartar_posible_plano,False,,descartar_posible_plano
GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,62.129,2026-06-11 10:39:10,20260206_Geosupport_primera entrega,True,,,,,,,,,descartar_posible_plano,False,,,,,descartar_posible_plano,False,,descartar_posible_plano
